0,40,1.8,29,0,0,0
0,40,1.8,29,1,0,0
2,40,1.8,29,0,0,0
2,40,1.8,29,1,0,0
4,40,1.8,29,0,0,0
4,40,1.8,29,1,0,0
6,40,1.8,29,0,0,0
6,40,1.8,29,1,0,0
8,40,1.8,29,0,0,0
8,40,1.8,29,1,0,0
10,40,1.8,29,0,0,0
10,40,1.8,29,1,0,0
12,40,1.8,29,0,0,0
12,40,1.8,29,1,0,0
14,40,1.8,29,0,0,0
14,40,1.8,29,1,0,0
16,40,1.8,29,0,0,0
16,40,1.8,29,1,0,0
18,40,1.8,29,0,0,0
18,40,1.8,29,1,1,1
20,40,1.8,29,0,0,0
20,40,1.8,29,1,7,5
22,40,1.8,29,0,0,0
22,40,1.8,29,1,7,6
24,40,1.8,29,0,0,0
24,40,1.8,29,1,7,6
26,40,1.8,29,0,0,0
26,40,1.8,29,1,19,11
0,80,1,29,0,2,2
0,80,1,29,1,10,6
2,80,1,29,0,2,2
2,80,1,29,1,7,5
4,80,1,29,0,0,0
4,80,1,29,1,7,5
6,80,1,29,0,0,0
6,80,1,29,1,8,5
8,80,1,29,0,3,2
8,80,1,29,1,6,1
10,80,1,29,0,4,1
10,80,1,29,1,11,7
12,80,1,29,0,6,5
12,80,1,29,1,11,7
14,80,1,29,0,1,0
14,80,1,29,1,7,5
16,80,1,29,0,4,0
16,80,1,29,1,12,11
18,80,1,29,0,3,0
18,80,1,29,1,15,12
20,80,1,29,0,1,0
20,80,1,29,1,16,12
22,80,1,29,0,5,1
22,80,1,29,1,15,11
24,80,1,29,0,9,0
24,80,1,29,1,18,11
26,80,1,29,0,10,5
26,80,1,29,1,28,22
0,80,1.1,29,0,0,0
0,80,1.1,29,1,NA,NA
2,80,1.1,29,0,0,0
2,80,1.1,29,1,4,4
4,80,1.1,29,0,2,2
4,80,1.1,29,1,3,3
6,80,1.1,29,0,2,2
6,80,1.1,29,1,0,0
8,80,1.1,29,0,0,0
8,80,1.1,29,1,1,1
10,80,1.1,29,0,4,4
10,80,1.1,29,1,6,6
12,80,1.1,29,0,0,0
12,80,1.1,29,1,4,4
14,80,1.1,29,0,0,0
14,80,1.1,29,1,4,4
16,80,1.1,29,0,2,2
16,80,1.1,29,1,9,9
18,80,1.1,29,0,6,6
18,80,1.1,29,1,18,17
20,80,1.1,29,0,0,0
20,80,1.1,29,1,16,16
22,80,1.1,29,0,5,4
22,80,1.1,29,1,24,22
24,80,1.1,29,0,4,4
24,80,1.1,29,1,23,22
26,80,1.1,29,0,7,4
26,80,1.1,29,1,26,23
0,80,1.2,29,0,0,0
0,80,1.2,29,1,NA,NA
2,80,1.2,29,0,0,0
2,80,1.2,29,1,1,1
4,80,1.2,29,0,0,0
4,80,1.2,29,1,1,1
6,80,1.2,29,0,0,0
6,80,1.2,29,1,0,0
8,80,1.2,29,0,0,0
8,80,1.2,29,1,3,3
10,80,1.2,29,0,1,1
10,80,1.2,29,1,3,3
12,80,1.2,29,0,8,8
12,80,1.2,29,1,8,8
14,80,1.2,29,0,3,3
14,80,1.2,29,1,6,6
16,80,1.2,29,0,1,1
16,80,1.2,29,1,5,5
18,80,1.2,29,0,3,3
18,80,1.2,29,1,8,8
20,80,1.2,29,0,4,3
20,80,1.2,29,1,14,13
22,80,1.2,29,0,9,8
22,80,1.2,29,1,19,17
24,80,1.2,29,0,3,3
24,80,1.2,29,1,15,14
26,80,1.2,29,0,11,7
26,80,1.2,29,1,24,20
0,80,1.5,29,0,0,0
0,80,1.5,29,1,6,6
2,80,1.5,29,0,0,0
2,80,1.5,29,1,3,3
4,80,1.5,29,0,0,0
4,80,1.5,29,1,1,1
6,80,1.5,29,0,0,0
6,80,1.5,29,1,0,0
8,80,1.5,29,0,0,0
8,80,1.5,29,1,0,0
10,80,1.5,29,0,0,0
10,80,1.5,29,1,0,0
12,80,1.5,29,0,2,2
12,80,1.5,29,1,2,2
14,80,1.5,29,0,2,2
14,80,1.5,29,1,5,5
16,80,1.5,29,0,4,4
16,80,1.5,29,1,9,9
18,80,1.5,29,0,4,4
18,80,1.5,29,1,13,13
20,80,1.5,29,0,6,5
20,80,1.5,29,1,20,18
22,80,1.5,29,0,6,6
22,80,1.5,29,1,15,15
24,80,1.5,29,0,4,3
24,80,1.5,29,1,22,18
26,80,1.5,29,0,8,6
26,80,1.5,29,1,30,24
0,80,1.8,29,0,0,0
0,80,1.8,29,1,NA,NA
2,80,1.8,29,0,0,0
2,80,1.8,29,1,1,1
4,80,1.8,29,0,0,0
4,80,1.8,29,1,0,0
6,80,1.8,29,0,0,0
6,80,1.8,29,1,0,0
8,80,1.8,29,0,0,0
8,80,1.8,29,1,0,0
10,80,1.8,29,0,0,0
10,80,1.8,29,1,0,0
12,80,1.8,29,0,0,0
12,80,1.8,29,1,0,0
14,80,1.8,29,0,1,1
14,80,1.8,29,1,2,2
16,80,1.8,29,0,0,0
16,80,1.8,29,1,0,0
18,80,1.8,29,0,0,0
18,80,1.8,29,1,0,0
20,80,1.8,29,0,1,1
20,80,1.8,29,1,3,3
22,80,1.8,29,0,0,0
22,80,1.8,29,1,3,3
24,80,1.8,29,0,1,1
24,80,1.8,29,1,21,16
26,80,1.8,29,0,6,6
26,80,1.8,29,1,19,15
0,160,1,29,0,6,6
0,160,1,29,1,16,16
2,160,1,29,0,7,7
2,160,1,29,1,16,16
4,160,1,29,0,5,5
4,160,1,29,1,13,13
6,160,1,29,0,5,4
6,160,1,29,1,9,9
8,160,1,29,0,3,2
8,160,1,29,1,9,8
10,160,1,29,0,7,7
10,160,1,29,1,10,9
12,160,1,29,0,2,2
12,160,1,29,1,5,5
14,160,1,29,0,7,4
14,160,1,29,1,10,10
16,160,1,29,0,7,4
16,160,1,29,1,15,13
18,160,1,29,0,6,5
18,160,1,29,1,16,15
20,160,1,29,0,4,3
20,160,1,29,1,18,16
22,160,1,29,0,7,4
22,160,1,29,1,18,15
24,160,1,29,0,5,4
24,160,1,29,1,28,22
26,160,1,29,0,1,0
